"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1212814174717239296","x1454032774273413126",2021-10-29 10:30:02,"NLootin","🚨 GRAIL ALERT 🚨 

Treated to this beaut today. @KDTrey5 Authentic 75th Anniversary Diamond Edition @BrooklynNets Jersey.

The most beautiful thing in existence 

#NetsWorld #NetsLevel #WearBrooklynAt #WeGoHard #NBA75 https://t.co/m1xioosEgg","Twitter for iPhone",140,,,,FALSE,FALSE,0,0,0,0,,,"twitter.com/i/web/status/1…","https://t.co/siAAQjoVRM","https://twitter.com/i/web/status/1454032774273413126",,,,,,,,,"x35936474 x18552281","KDTrey5 BrooklynNets","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NLootin/status/1454032774273413126","Elliott - Hoopin’N’Lootin","Manchester, England","Authentic New & Retro Basketball Jersey & Apparel Store * IG @hoopinnlootin * Brooklyn Nets Superfan * The King of The Drop","http://www.hoopinnlootin.com",FALSE,1378,529,9,6746,16551,2020-01-02 19:13:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/1212814174717239296/1622390753","","http://pbs.twimg.com/profile_images/1308512808250806272/-YFKeyCg_normal.jpg"
"x1364445057864986628","x1454032778438217728",2021-10-29 10:30:03,"yzurred","Thoma is just genshin's reincarnation of C*nderella he cooks he clean he has lots of small aminal friends and the next thing he's gonna do is marrying the prince of the Kamisato clan","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x1038401717119807488","t3ru__","en",,,,,,,,,,,,,,,,"x1453941309798969354","Thoma is just genshin's reincarnation of C*nderella he cooks he clean he has lots of small aminal friends and the next thing he's gonna do is marrying the prince of the Kamisato clan",2021-10-29 04:26:35,"Twitter for iPad",4974,1075,"x1038401717119807488","t3ru__","𝚝𝚎𝚛𝚞 🎃",11583,1332,6907,"under TartaLi's bed","19 |💧🔶 (❌🔄) | Itthomato 👹🍡🌊 | ReOsial | ENG/VIE/日本語",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/yzurred/status/1454032778438217728","Red",,"20↑ | A bit of here and there | Genshin(main)/Tears of Themis/Arknights/Sky/Fate/GBF | I write sometimes | I thirst twt too much for minors pls dni (｡•̀ᴗ-)✧",,FALSE,42,211,0,4002,9447,2021-02-24 05:20:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/1364445057864986628/1630326100","","http://pbs.twimg.com/profile_images/1442738144760135680/5HIBeVhI_normal.jpg"
"x1073496504378290176","x1454032778446745601",2021-10-29 10:30:03,"antonie85321896","@matteorenzi Neanche Borghi e Bagnai sarebbero in grado di fare un ragionamento così intellettualmente disonesto. 
La stessa crescita l’avremmo avuta con chiunque, è il normale rimbalzo dopo un anno di chiusure e limitazioni. 
Poi tu saresti quello bravo e competente.","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,,,,,,,,,"x391435476 x18762875","BereBuiols matteorenzi","it",,,,,,,,,,,,,,,,"x1454014160795279360","@matteorenzi Neanche Borghi e Bagnai sarebbero in grado di fare un ragionamento così intellettualmente disonesto. 
La stessa crescita l’avremmo avuta con chiunque, è il normale rimbalzo dopo un anno di chiusure e limitazioni. 
Poi tu saresti quello bravo e competente.",2021-10-29 09:16:04,"Twitter for iPhone",79,4,"x391435476","BereBuiols","Bere",31,154,1493,,,FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/antonie85321896/status/1454032778446745601","@antoniettacarm3",,,,FALSE,252,175,0,58489,28914,2018-12-14 08:34:46,FALSE,,,,,"","http://pbs.twimg.com/profile_images/1269211979505373185/AJcLvRns_normal.jpg"
"x2312468360","x1454032778434072577",2021-10-29 10:30:03,"bellaenerys","@ohsupernaturall THANK YOU SO MUCH DAI!!❤️❤️","Twitter Web App",27,"x1454029626880233473","x1045056017426518016","ohsupernaturall",FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,"x1045056017426518016","ohsupernaturall","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bellaenerys/status/1454032778434072577","karo🐉","she/her","star wars | dany did nothing wrong in her life | sab&soc | be well, be kind. 🌘",,FALSE,378,390,21,1804,22507,2014-01-26 21:00:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/2312468360/1634556611","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1450057215797338114/cjhcwhwK_normal.jpg"
"x774211835553652738","x1454032778434015234",2021-10-29 10:30:03,"ZacklerAl","@thecookiesyeo Aiyaa malu ohh HAHAHAHAHA","Twitter for Android",25,"x1454031019468677126","x1091310086570405888","thecookiesyeo",FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,"x1091310086570405888","thecookiesyeo","tl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ZacklerAl/status/1454032778434015234","Al zackler Kalor","Sky Island","Sy ada aiskrim.kau mau ?","https://instagram.com/alzackler_kalor.p",FALSE,334,337,0,4409,19789,2016-09-09 11:44:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/774211835553652738/1632191916","","http://pbs.twimg.com/profile_images/1418754632344473600/J1HdQ4ON_normal.jpg"
"x1418646802908254208","x1454032778459287554",2021-10-29 10:30:03,"mm64702410","@hussein_rubel @Md_Saif1999 যুক্তি নয় চুক্তি লেখেন","Twitter for Android",23,"x1453305975016988674","x1185869835462422528","hussein_rubel",FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,"x1185869835462422528 x2797937526","hussein_rubel Md_Saif1999","bn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mm64702410/status/1454032778459287554","শূণ্য জীবন,শাহ্ আলম।",,"❤️❤️❤️assalamualaikum warahmatullahi
 wabarakatuh❤️❤️❤️",,FALSE,428,1394,0,711,5021,2021-07-23 18:59:28,FALSE,,,,"https://pbs.twimg.com/profile_banners/1418646802908254208/1627717095","","http://pbs.twimg.com/profile_images/1439490264733822977/7oir9umF_normal.jpg"
"x710417166349144064","x1454032778450767874",2021-10-29 10:30:03,"mossanpower","@kai_papastory かいさん

やれそうと思わせれたら、勝ちですよね🤗","Twitter Web App",25,"x1454017664842567680","x1424601906651881475","kai_papastory",FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,"x1424601906651881475","kai_papastory","ja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mossanpower/status/1454032778450767874","もっさん🔥即マネタイズさせる講師","愛知三河地方👇スベテ実話","【フォローするとセミナーでサクッと稼げる】→#もっさんセミナー|孫○義氏の親族から講師ノウハウ伝承|セミナーは一番簡単に稼げるビジネスです","https://note.com/progyakusyuuya/n/nf583cfb3d962",FALSE,14104,265,160,183637,324745,2016-03-17 10:47:06,FALSE,,,,"https://pbs.twimg.com/profile_banners/710417166349144064/1634637005","","http://pbs.twimg.com/profile_images/1427274926046683139/697Hlam__normal.jpg"
"x1438810030401155074","x1454032778463309832",2021-10-29 10:30:03,"chino_mini_sub","これうちわもペンラも無いMINIちゃんファンミは全身推しカラーで行かなきゃアピール出来ないんじゃない予約切れ

#INI @official__INI Rocketeer / Brighter / Cardio / KILLING PART / RUNWAY(INI Ver.) / ONE(INI Ver.)","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,"INI",,,,,,,,,,,,,"x1412720905092956162 x1402566462179475462","uraura12_masaP official__INI","ja",,,,,,,,,,,,,,,,"x1453973823661875211","これうちわもペンラも無いMINIちゃんファンミは全身推しカラーで行かなきゃアピール出来ないんじゃない予約切れ

#INI @official__INI Rocketeer / Brighter / Cardio / KILLING PART / RUNWAY(INI Ver.) / ONE(INI Ver.)",2021-10-29 06:35:47,"Twitter for iPhone",11,54,"x1412720905092956162","uraura12_masaP","うらら💛柾𝕄𝕀ℕ𝕀",506,532,22375,,"INI木村柾哉推し☺︎でも結局箱推し✨ 🏢垢",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/chino_mini_sub/status/1454032778463309832","chino_mini",,"INI🏷🏢専用垢/RT多めです/好きな食べ物はモンブランです/無言フォローしつれいします💦",,FALSE,538,555,0,6649,1385,2021-09-17 10:20:28,FALSE,,,,,"","http://pbs.twimg.com/profile_images/1438810267190652939/c91XC4AM_normal.jpg"
"x838843260227432448","x1454032778446741504",2021-10-29 10:30:03,"irresisstiblle","@vacwashere . bu gozyasi durur musun","Twitter for iPhone",24,"x1454015989587271683","x1379452126175371270","vacwashere",FALSE,FALSE,0,0,0,0,,,,,,,,,,,,,,"x1379452126175371270","vacwashere","tr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/irresisstiblle/status/1454032778446741504","zey",,,,FALSE,827,357,13,12487,29747,2017-03-06 20:06:33,FALSE,,,,"https://pbs.twimg.com/profile_banners/838843260227432448/1632774294","","http://pbs.twimg.com/profile_images/1437472802643365890/vi-HwJqC_normal.jpg"
"x1253466435667419136","x1454032778459168771",2021-10-29 10:30:03,"Johanes_Prawira","selebat itukah https://t.co/uu7cJNE7XQ","Twitter for Android",,,,,FALSE,TRUE,0,0,0,0,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1453980334622601218/pu/img/yPiUVzS7SxhQBcX_.jpg","https://t.co/uu7cJNE7XQ","https://twitter.com/krupukp3juh/status/1453981513846902788/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1453980334622601218/pu/img/yPiUVzS7SxhQBcX_.jpg","https://t.co/uu7cJNE7XQ","https://twitter.com/krupukp3juh/status/1453981513846902788/video/1",,"x1357326931201458176","krupukp3juh","in",,,,,,,,,,,,,,,,"x1453981513846902788","selebat itukah https://t.co/uu7cJNE7XQ",2021-10-29 07:06:21,"Twitter for Android",57,15,"x1357326931201458176","krupukp3juh","JANGAN BAPER 😛",107640,0,294,,"To The Point Kalau INBOX",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Johanes_Prawira/status/1454032778459168771","Johanes - Prawira",,"Bpk ganteng 56 bisex ingin punya pasangan sejenis yg serius",,FALSE,5313,329,2,23453,32,2020-04-23 23:31:54,FALSE,,,,,"","http://pbs.twimg.com/profile_images/1452038462069088260/o7wu-Ly9_normal.jpg"
